,0
0,2012-01-03
1,2012-01-04
2,2012-01-05
3,2012-01-06
4,2012-01-09
5,2012-01-10
6,2012-01-11
7,2012-01-12
8,2012-01-13
9,2012-01-17
10,2012-01-18
11,2012-01-19
12,2012-01-20
13,2012-01-23
14,2012-01-24
15,2012-01-25
16,2012-01-26
17,2012-01-27
18,2012-01-30
19,2012-01-31
20,2012-02-01
21,2012-02-02
22,2012-02-03
23,2012-02-06
24,2012-02-07
25,2012-02-08
26,2012-02-09
27,2012-02-10
28,2012-02-13
29,2012-02-14
30,2012-02-15
31,2012-02-16
32,2012-02-17
33,2012-02-21
34,2012-02-22
35,2012-02-23
36,2012-02-24
37,2012-02-27
38,2012-02-28
39,2012-02-29
40,2012-03-01
41,2012-03-02
42,2012-03-05
43,2012-03-06
44,2012-03-07
45,2012-03-08
46,2012-03-09
47,2012-03-12
48,2012-03-13
49,2012-03-14
50,2012-03-15
51,2012-03-16
52,2012-03-19
53,2012-03-20
54,2012-03-21
55,2012-03-22
56,2012-03-23
57,2012-03-26
58,2012-03-27
59,2012-03-28
60,2012-03-29
61,2012-03-30
62,2012-04-02
63,2012-04-03
64,2012-04-04
65,2012-04-05
66,2012-04-09
67,2012-04-10
68,2012-04-11
69,2012-04-12
70,2012-04-13
71,2012-04-16
72,2012-04-17
73,2012-04-18
74,2012-04-19
75,2012-04-20
76,2012-04-23
77,2012-04-24
78,2012-04-25
79,2012-04-26
80,2012-04-27
81,2012-04-30
82,2012-05-01
83,2012-05-02
84,2012-05-03
85,2012-05-04
86,2012-05-07
87,2012-05-08
88,2012-05-09
89,2012-05-10
90,2012-05-11
91,2012-05-14
92,2012-05-15
93,2012-05-16
94,2012-05-17
95,2012-05-18
96,2012-05-21
97,2012-05-22
98,2012-05-23
99,2012-05-24
100,2012-05-25
101,2012-05-29
102,2012-05-30
103,2012-05-31
104,2012-06-01
105,2012-06-04
106,2012-06-05
107,2012-06-06
108,2012-06-07
109,2012-06-08
110,2012-06-11
111,2012-06-12
112,2012-06-13
113,2012-06-14
114,2012-06-15
115,2012-06-18
116,2012-06-19
117,2012-06-20
118,2012-06-21
119,2012-06-22
120,2012-06-25
121,2012-06-26
122,2012-06-27
123,2012-06-28
124,2012-06-29
125,2012-07-02
126,2012-07-03
127,2012-07-05
128,2012-07-06
129,2012-07-09
130,2012-07-10
131,2012-07-11
132,2012-07-12
133,2012-07-13
134,2012-07-18
135,2012-07-19
136,2012-07-20
137,2012-07-23
138,2012-07-24
139,2012-07-25
140,2012-07-26
141,2012-07-27
142,2012-07-30
143,2012-07-31
144,2012-08-01
145,2012-08-02
146,2012-08-03
147,2012-08-06
148,2012-08-07
149,2012-08-08
150,2012-08-09
151,2012-08-10
152,2012-08-13
153,2012-08-14
154,2012-08-15
155,2012-08-16
156,2012-08-17
157,2012-08-20
158,2012-08-21
159,2012-08-22
160,2012-08-23
161,2012-08-24
162,2012-08-27
163,2012-08-28
164,2012-08-29
165,2012-08-30
166,2012-08-31
167,2012-09-04
168,2012-09-05
169,2012-09-06
170,2012-09-07
171,2012-09-10
172,2012-09-11
173,2012-09-12
174,2012-09-13
175,2012-09-14
176,2012-09-17
177,2012-09-18
178,2012-09-19
179,2012-09-20
180,2012-09-21
181,2012-09-24
182,2012-09-25
183,2012-09-26
184,2012-09-27
185,2012-09-28
186,2012-10-01
187,2012-10-02
188,2012-10-03
189,2012-10-04
190,2012-10-05
191,2012-10-08
192,2012-10-09
193,2012-10-10
194,2012-10-11
195,2012-10-12
196,2012-10-15
197,2012-10-16
198,2012-10-17
199,2012-10-18
200,2012-10-19
201,2012-10-22
202,2012-10-23
203,2012-10-24
204,2012-10-25
205,2012-10-26
206,2012-10-31
207,2012-11-01
208,2012-11-02
209,2012-11-05
210,2012-11-06
211,2012-11-07
212,2012-11-08
213,2012-11-09
214,2012-11-12
215,2012-11-13
216,2012-11-14
217,2012-11-15
218,2012-11-16
219,2012-11-19
220,2012-11-20
221,2012-11-21
222,2012-11-23
223,2012-11-26
224,2012-11-27
225,2012-11-28
226,2012-11-29
227,2012-11-30
228,2012-12-03
229,2012-12-04
230,2012-12-05
231,2012-12-06
232,2012-12-07
233,2012-12-10
234,2012-12-11
235,2012-12-12
236,2012-12-13
237,2012-12-14
238,2012-12-17
239,2012-12-18
240,2012-12-19
241,2012-12-20
242,2012-12-21
243,2012-12-24
244,2012-12-26
245,2012-12-27
246,2012-12-28
247,2012-12-31
248,2013-01-02
249,2013-01-03
250,2013-01-04
251,2013-01-07
252,2013-01-08
253,2013-01-09
254,2013-01-10
255,2013-01-11
256,2013-01-14
257,2013-01-15
258,2013-01-16
259,2013-01-17
260,2013-01-18
261,2013-01-22
262,2013-01-23
263,2013-01-24
264,2013-01-25
265,2013-01-28
266,2013-01-29
267,2013-01-30
268,2013-01-31
269,2013-02-01
270,2013-02-04
271,2013-02-05
272,2013-02-06
273,2013-02-07
274,2013-02-08
275,2013-02-11
276,2013-02-12
277,2013-02-13
278,2013-02-14
279,2013-02-15
280,2013-02-19
281,2013-02-20
282,2013-02-21
283,2013-02-22
284,2013-02-25
285,2013-02-26
286,2013-02-27
287,2013-02-28
288,2013-03-01
289,2013-03-04
290,2013-03-05
291,2013-03-06
292,2013-03-07
293,2013-03-08
294,2013-03-11
295,2013-03-12
296,2013-03-13
297,2013-03-14
298,2013-03-15
299,2013-03-18
300,2013-03-19
301,2013-03-20
302,2013-03-21
303,2013-03-22
304,2013-03-25
305,2013-03-26
306,2013-03-27
307,2013-03-28
308,2013-04-01
309,2013-04-02
310,2013-04-03
311,2013-04-04
312,2013-04-05
313,2013-04-08
314,2013-04-09
315,2013-04-10
316,2013-04-11
317,2013-04-12
318,2013-04-15
319,2013-04-16
320,2013-04-17
321,2013-04-18
322,2013-04-19
323,2013-04-22
324,2013-04-23
325,2013-04-24
326,2013-04-25
327,2013-04-26
328,2013-04-29
329,2013-04-30
330,2013-05-01
331,2013-05-02
332,2013-05-03
333,2013-05-06
334,2013-05-07
335,2013-05-08
336,2013-05-09
337,2013-05-10
338,2013-05-13
339,2013-05-14
340,2013-05-15
341,2013-05-16
342,2013-05-17
343,2013-05-20
344,2013-05-21
345,2013-05-22
346,2013-05-23
347,2013-05-24
348,2013-05-28
349,2013-05-29
350,2013-05-30
351,2013-05-31
352,2013-06-03
353,2013-06-04
354,2013-06-05
355,2013-06-06
356,2013-06-07
357,2013-06-10
358,2013-06-11
359,2013-06-12
360,2013-06-13
361,2013-06-14
362,2013-06-17
363,2013-06-18
364,2013-06-19
365,2013-06-20
366,2013-06-21
367,2013-06-24
368,2013-06-25
369,2013-06-26
370,2013-06-27
371,2013-06-28
372,2013-07-01
373,2013-07-02
374,2013-07-03
375,2013-07-05
376,2013-07-08
377,2013-07-09
378,2013-07-10
379,2013-07-11
380,2013-07-12
381,2013-07-15
382,2013-07-16
383,2013-07-17
384,2013-07-18
385,2013-07-19
386,2013-07-22
387,2013-07-23
388,2013-07-24
389,2013-07-25
390,2013-07-26
391,2013-07-29
392,2013-07-30
393,2013-07-31
394,2013-08-01
395,2013-08-02
396,2013-08-05
397,2013-08-06
398,2013-08-07
